label,id,date,channel_id,message,views,image
5,1162,2024-08-01 13:28:01+00:00,1967377955,There's money to be made . Let's keep up this momentum . Details coming soon .,6206,
5,1161,2024-08-01 13:27:40+00:00,1967377955,WHO'S READY TO PUMP AGAIN ON SUNDAY ?,6202,
3,1160,2024-07-31 17:12:45+00:00,1967377955,"💸 OFFICIAL PUMP RESULT : Exchange : MEXC_CEX Coin : HONKLER Low : 0.001144 High : 0.01138 Peak Gain : 894 % YES . WE'RE BACK TEAM 💸 💯 We did it guys . We just moved the markets in INSANE style . We pumped our coin close to 900 % today with insane volume . So many opportunities to sell for 3x , 5x and even close to 9x today . INCREDIBLE . Congratulations to everyone who entered and left with some healthy cash 💰 . Enjoy it , you deserve it . We don't invent the markets , but we sure play them . Let's go teams See you VERY soon for another pump like this . We're not stopping anytime soon . Best , Your CPC Team 📈",6304,
5,1159,2024-07-31 17:05:31+00:00,1967377955,That was insane 😦 We're BACK team ! There's no stopping us now 🔥 💸 💸 💸,6149,
5,1158,2024-07-31 17:04:59+00:00,1967377955,WE JUST HIT 894 %,6283,
2,1157,2024-07-31 17:00:05+00:00,1967377955,HONKLER,6199,
1,1156,2024-07-31 16:55:37+00:00,1967377955,‼ ️ 5 MINUTES UNTIL THE PUMP Next message is the coin name . Buy as fast as possible .,6203,
1,1155,2024-07-31 16:50:07+00:00,1967377955,‼ ️ 10 MINUTES UNTIL THE PUMP,6210,
5,1154,2024-07-31 16:45:53+00:00,1967377955,"This could be huge today , market signs are excellent . Prepare for high % sells .",6206,
5,1153,2024-07-31 16:45:20+00:00,1967377955,Remember to use “ Limit ” order to buy team .,6219,
1,1152,2024-07-31 16:45:03+00:00,1967377955,‼ ️ 15 MINUTES UNTIL THE PUMP,6192,
1,1151,2024-07-31 16:00:27+00:00,1967377955,‼ ️ 1 HOUR UNTIL THE PUMP ON MEXC_CEX 60 minutes Be ready to buy fast .,6205,
1,1150,2024-07-31 15:00:54+00:00,1967377955,"‼ ️ 2 HOURS UNTIL THE PUMP ON MEXC_CEX Important : never be afraid to take profit . Do not try and time the peak of the pump , as this is very difficult to do . When you see your chance to take profit , take it and make some money .",6198,
