id,date,channel_id,message,views,image
1660,2024-10-11 10:41:45+00:00,1193379360,"📣 2 DAYS LEFT , UNTIL PUMP 📣 Sunday , 13th of October : - 🕔 Time : 5:00 PM ( GMT ) - 💼 Exchange : Mexc_CEX - 🎯 Target : 1500 % - 💹 Pairing : USDT 🔥 Exclusive for our esteemed VIP Members , a private event awaits you this week . Don't miss your chance to secure a spot in this elite circle . Join the ranks of success and seize your VIP status ! SLOTS REMAINING : 2 The Clock is ticking ! If you've missed : $ APIEK 594 🛍 October 15 💵 $ EGAME 740 🛍 October 29 💵 $ MONI 325 🛍 November 5 💵 $ HALO 138 🛍 November 19 💵 $ PEEL 324 🛍 November 26 💵 $ SUIA 349 🛍 December 3 💵 $ QUICK 1270 🛍 December 23 💵 $ IZI 295 🛍 December 28 💵 $ MJT 747 🛍 January 19 💵 $ VERSE 174 🛍 January 21 💵 $ WHALE 145 🛍 February 04 💵 $ FEAR 695 🛍 February 23 💵 $ MTS 310 🛍 Febuary 25 💵 $ BONDLY 806 🛍 March 08 💵 $ VCORE 546 🛍 March 10 💵 $ XCV 707 🛍 March 22 💵 $ STRIKE 535 🛍 April 5 💵 $ H2O 352 🛍 April 14 💵 $ TT 460 🛍 April 28 💵 $ VERSE 429 🛍 May 3 💵 $ APOLO 600 🛍 May 12 💵 $ HANDY 855 🛍 May 19 💵 $ WTA 521 🛍 May 26 💵 $ YOLO 2524 🛍 June 2 💵 $ TOKKI 1112 🛍 June 2 💵 $ VEMP 749 🛍 June 7 💵 $ GGX 711 🛍 June 9 💵 $ IZI 651 🛍 June 16 💵 $ MONKE 481 🛍 June 23 💵 $ MBLK 522 🛍 June 30 💵 $ LPU 622 🛍 July 07 💵 $ SOLS 1360 🛍 July 23 💵 $ YOLO 1720 🛍 August 11 💵 $ MJT 115 🛍 August 16 💵 $ OGV 218 🛍 August 25 💵 $ PIP 95 🛍 September 1 💵 $ MTR 1355 🛍 September 8 💵 $ TWIF 1350 🛍 September 15 💵 $ AIEP 474 🛍 September 15 💵 Just in 11 Months our VIP MEMBERS MADE 21 376 % in PROFIT We Are the BIGGEST and most profitable pump Channel , and you will have the chance to join us and make your future Bright . 💸 Secure your entry by accessing the membership form : CLICK HERE ☄ ️Your moment of triumph is just now . Do you have any Questions ? @USER",288328,
1659,2024-10-11 02:10:08+00:00,1193379360,🚀 ONLY 2 SLOTS LEFT ... 🚀,295208,
1658,2024-10-10 08:06:22+00:00,1193379360,"📣 3 DAYS LEFT , UNTIL PUMP 📣 Sunday , 13th of October : - 🕔 Time : 5:00 PM ( GMT ) - 💼 Exchange : Mexc_CEX - 🎯 Target : 1500 % - 💹 Pairing : USDT 🔥 Exclusive for our esteemed VIP Members , a private event awaits you this week . Don't miss your chance to secure a spot in this elite circle . Join the ranks of success and seize your VIP status ! SLOTS REMAINING : 3 The Clock is ticking ! If you've missed : $ APIEK 594 🛍 October 15 💵 $ EGAME 740 🛍 October 29 💵 $ MONI 325 🛍 November 5 💵 $ HALO 138 🛍 November 19 💵 $ PEEL 324 🛍 November 26 💵 $ SUIA 349 🛍 December 3 💵 $ QUICK 1270 🛍 December 23 💵 $ IZI 295 🛍 December 28 💵 $ MJT 747 🛍 January 19 💵 $ VERSE 174 🛍 January 21 💵 $ WHALE 145 🛍 February 04 💵 $ FEAR 695 🛍 February 23 💵 $ MTS 310 🛍 Febuary 25 💵 $ BONDLY 806 🛍 March 08 💵 $ VCORE 546 🛍 March 10 💵 $ XCV 707 🛍 March 22 💵 $ STRIKE 535 🛍 April 5 💵 $ H2O 352 🛍 April 14 💵 $ TT 460 🛍 April 28 💵 $ VERSE 429 🛍 May 3 💵 $ APOLO 600 🛍 May 12 💵 $ HANDY 855 🛍 May 19 💵 $ WTA 521 🛍 May 26 💵 $ YOLO 2524 🛍 June 2 💵 $ TOKKI 1112 🛍 June 2 💵 $ VEMP 749 🛍 June 7 💵 $ GGX 711 🛍 June 9 💵 $ IZI 651 🛍 June 16 💵 $ MONKE 481 🛍 June 23 💵 $ MBLK 522 🛍 June 30 💵 $ LPU 622 🛍 July 07 💵 $ SOLS 1360 🛍 July 23 💵 $ YOLO 1720 🛍 August 11 💵 $ MJT 115 🛍 August 16 💵 $ OGV 218 🛍 August 25 💵 $ PIP 95 🛍 September 1 💵 $ MTR 1355 🛍 September 8 💵 $ TWIF 1350 🛍 September 15 💵 $ AIEP 474 🛍 September 15 💵 Just in 11 Months our VIP MEMBERS MADE 21 376 % in PROFIT We Are the BIGGEST and most profitable pump Channel , and you will have the chance to join us and make your future Bright . 💸 Secure your entry by accessing the membership form : CLICK HERE ☄ ️Your moment of triumph is just now . Do you have any Questions ? @USER",320328,
1657,2024-10-10 02:19:20+00:00,1193379360,🚀 ONLY 4 SLOTS LEFT ... 🚀,320290,
1656,2024-10-09 03:46:53+00:00,1193379360,"📣 4 DAYS LEFT , UNTIL PUMP 📣 Sunday , 13th of October : - 🕔 Time : 5:00 PM ( GMT ) - 💼 Exchange : Mexc_CEX - 🎯 Target : 1500 % - 💹 Pairing : USDT 🔥 Exclusive for our esteemed VIP Members , a private event awaits you this week . Don't miss your chance to secure a spot in this elite circle . Join the ranks of success and seize your VIP status ! SLOTS REMAINING : 4The Clock is ticking ! If you've missed : $ APIEK 594 🛍 October 15 💵 $ EGAME 740 🛍 October 29 💵 $ MONI 325 🛍 November 5 💵 $ HALO 138 🛍 November 19 💵 $ PEEL 324 🛍 November 26 💵 $ SUIA 349 🛍 December 3 💵 $ QUICK 1270 🛍 December 23 💵 $ IZI 295 🛍 December 28 💵 $ MJT 747 🛍 January 19 💵 $ VERSE 174 🛍 January 21 💵 $ WHALE 145 🛍 February 04 💵 $ FEAR 695 🛍 February 23 💵 $ MTS 310 🛍 Febuary 25 💵 $ BONDLY 806 🛍 March 08 💵 $ VCORE 546 🛍 March 10 💵 $ XCV 707 🛍 March 22 💵 $ STRIKE 535 🛍 April 5 💵 $ H2O 352 🛍 April 14 💵 $ TT 460 🛍 April 28 💵 $ VERSE 429 🛍 May 3 💵 $ APOLO 600 🛍 May 12 💵 $ HANDY 855 🛍 May 19 💵 $ WTA 521 🛍 May 26 💵 $ YOLO 2524 🛍 June 2 💵 $ TOKKI 1112 🛍 June 2 💵 $ VEMP 749 🛍 June 7 💵 $ GGX 711 🛍 June 9 💵 $ IZI 651 🛍 June 16 💵 $ MONKE 481 🛍 June 23 💵 $ MBLK 522 🛍 June 30 💵 $ LPU 622 🛍 July 07 💵 $ SOLS 1360 🛍 July 23 💵 $ YOLO 1720 🛍 August 11 💵 $ MJT 115 🛍 August 16 💵 $ OGV 218 🛍 August 25 💵 $ PIP 95 🛍 September 1 💵 $ MTR 1355 🛍 September 8 💵 $ TWIF 1350 🛍 September 15 💵 $ AIEP 474 🛍 September 15 💵 Just in 11 Months our VIP MEMBERS MADE 21 376 % in PROFIT We Are the BIGGEST and most profitable pump Channel , and you will have the chance to join us and make your future Bright . 💸 Secure your entry by accessing the membership form : CLICK HERE ☄ ️Your moment of triumph is just now . Do you have any Questions ? @USER",320579,
1655,2024-10-08 08:48:21+00:00,1193379360,"Exciting Announcement ⚡ ️ In response to numerous requests from users facing challenges accessing KuCoin_CEX due to country restrictions or finding it hard to navigate the crypto space , we've introduced an exclusive service tailored just for youNEW Here's the deal : ‼ ️ We take care of all the intricate trading details , ensuring you don't miss out on potential profits . You deposit funds into our trading account and we do all the work and take a percentage of profit from it . After each pump , you can take profit or reinvest them back into working capital to make even more on your next pump . Plus , this service amplifies our pump capabilities , leveraging a larger pool for even more spectacular results . For those restricted from joining KuCoin_CEX or pressed for time , reach out to us for all the juicy details ! Contact @USER and let's elevate your trading experience together . 🚀 🚀",320415,
1654,2024-10-07 12:04:29+00:00,1193379360,🚀 ONLY 6 SLOTS LEFT ... 🚀,321018,
1653,2024-10-07 07:52:00+00:00,1193379360,"📣 6 DAYS LEFT , UNTIL PUMP 📣 Sunday , 13th of October : - 🕔 Time : 5:00 PM ( GMT ) - 💼 Exchange : Mexc_CEX - 🎯 Target : 1500 % - 💹 Pairing : USDT 🔥 Exclusive for our esteemed VIP Members , a private event awaits you this week . Don't miss your chance to secure a spot in this elite circle . Join the ranks of success and seize your VIP status ! SLOTS REMAINING : 7The Clock is ticking ! If you've missed : $ APIEK 594 🛍 October 15 💵 $ EGAME 740 🛍 October 29 💵 $ MONI 325 🛍 November 5 💵 $ HALO 138 🛍 November 19 💵 $ PEEL 324 🛍 November 26 💵 $ SUIA 349 🛍 December 3 💵 $ QUICK 1270 🛍 December 23 💵 $ IZI 295 🛍 December 28 💵 $ MJT 747 🛍 January 19 💵 $ VERSE 174 🛍 January 21 💵 $ WHALE 145 🛍 February 04 💵 $ FEAR 695 🛍 February 23 💵 $ MTS 310 🛍 Febuary 25 💵 $ BONDLY 806 🛍 March 08 💵 $ VCORE 546 🛍 March 10 💵 $ XCV 707 🛍 March 22 💵 $ STRIKE 535 🛍 April 5 💵 $ H2O 352 🛍 April 14 💵 $ TT 460 🛍 April 28 💵 $ VERSE 429 🛍 May 3 💵 $ APOLO 600 🛍 May 12 💵 $ HANDY 855 🛍 May 19 💵 $ WTA 521 🛍 May 26 💵 $ YOLO 2524 🛍 June 2 💵 $ TOKKI 1112 🛍 June 2 💵 $ VEMP 749 🛍 June 7 💵 $ GGX 711 🛍 June 9 💵 $ IZI 651 🛍 June 16 💵 $ MONKE 481 🛍 June 23 💵 $ MBLK 522 🛍 June 30 💵 $ LPU 622 🛍 July 07 💵 $ SOLS 1360 🛍 July 23 💵 $ YOLO 1720 🛍 August 11 💵 $ MJT 115 🛍 August 16 💵 $ OGV 218 🛍 August 25 💵 $ PIP 95 🛍 September 1 💵 $ MTR 1355 🛍 September 8 💵 $ TWIF 1350 🛍 September 15 💵 $ AIEP 474 🛍 September 15 💵 Just in 11 Months our VIP MEMBERS MADE 21 376 % in PROFIT We Are the BIGGEST and most profitable pump Channel , and you will have the chance to join us and make your future Bright . 💸 Secure your entry by accessing the membership form : CLICK HERE ☄ ️Your moment of triumph is just now . Do you have any Questions ? @USER",323224,
1648,2024-10-06 17:56:56+00:00,1193379360,🚀 ONLY 7 SLOTS LEFT ... 🚀,348210,
1647,2024-10-06 17:55:05+00:00,1193379360,"📣 7 DAYS LEFT , UNTIL PUMP 📣 Sunday , 13th of October : - 🕔 Time : 5:00 PM ( GMT ) - 💼 Exchange : Mexc_CEX - 🎯 Target : 1500 % - 💹 Pairing : USDT 🔥 Exclusive for our esteemed VIP Members , a private event awaits you this week . Don't miss your chance to secure a spot in this elite circle . Join the ranks of success and seize your VIP status ! SLOTS REMAINING : 7The Clock is ticking ! If you've missed : $ APIEK 594 🛍 October 15 💵 $ EGAME 740 🛍 October 29 💵 $ MONI 325 🛍 November 5 💵 $ HALO 138 🛍 November 19 💵 $ PEEL 324 🛍 November 26 💵 $ SUIA 349 🛍 December 3 💵 $ QUICK 1270 🛍 December 23 💵 $ IZI 295 🛍 December 28 💵 $ MJT 747 🛍 January 19 💵 $ VERSE 174 🛍 January 21 💵 $ WHALE 145 🛍 February 04 💵 $ FEAR 695 🛍 February 23 💵 $ MTS 310 🛍 Febuary 25 💵 $ BONDLY 806 🛍 March 08 💵 $ VCORE 546 🛍 March 10 💵 $ XCV 707 🛍 March 22 💵 $ STRIKE 535 🛍 April 5 💵 $ H2O 352 🛍 April 14 💵 $ TT 460 🛍 April 28 💵 $ VERSE 429 🛍 May 3 💵 $ APOLO 600 🛍 May 12 💵 $ HANDY 855 🛍 May 19 💵 $ WTA 521 🛍 May 26 💵 $ YOLO 2524 🛍 June 2 💵 $ TOKKI 1112 🛍 June 2 💵 $ VEMP 749 🛍 June 7 💵 $ GGX 711 🛍 June 9 💵 $ IZI 651 🛍 June 16 💵 $ MONKE 481 🛍 June 23 💵 $ MBLK 522 🛍 June 30 💵 $ LPU 622 🛍 July 07 💵 $ SOLS 1360 🛍 July 23 💵 $ YOLO 1720 🛍 August 11 💵 $ MJT 115 🛍 August 16 💵 $ OGV 218 🛍 August 25 💵 $ PIP 95 🛍 September 1 💵 $ MTR 1355 🛍 September 8 💵 $ TWIF 1350 🛍 September 15 💵 $ AIEP 474 🛍 September 15 💵 Just in 11 Months our VIP MEMBERS MADE 21 376 % in PROFIT We Are the BIGGEST and most profitable pump Channel , and you will have the chance to join us and make your future Bright . 💸 Secure your entry by accessing the membership form : CLICK HERE ☄ ️Your moment of triumph is just now . Do you have any Questions ? @USER",323684,
