id,name,centralized,trade_volume_24h_btc_normalized
10kswap-starknet-alpha,10KSwap,0,0.423299753984128
1bch,1BCH,0,0.0
3xcalibur,3xcalibur,0,0.0
9inch,9inch,0,8.700214914995742
aave,Aave,0,0.0
aboard-exchange,Aboard Exchange,0,0.0
abstradex,AbstraDEX,0,0.0
abstradex-x-layer,Abstradex (X Layer),0,0.015981625450988
acala_swap,Acala Swap,0,2.3119127398670147
acdx,ACDX,1,4.164949161705487
ace,Ace,1,39.82251966224848
acsi_finance,Acsi Finance,0,0.0091104653491796
aerodrome-base,Aerodrome (Base),0,1857.7919751665625
aerodrome-slipstream,Aerodrome SlipStream,0,2047.6493165654751
aevo,Aevo,0,0.0
aftermath_finance,Aftermath Finance,0,16.770911056698925
agni-finance,Agni Finance,0,24.64275829406295
agora_swap,Agora Swap,0,0.0
aktionariat-ethereum,Aktionariat (Ethereum),0,0.0074034973585384
alcor,Alcor,0,1.5380395283466926
alexgo,ALEX,0,4.127705110472864
algebra_finance,Algebra finance,0,0.0
alien-base,Alien Base,0,2.1266095045961237
alienfi,AlienFi,0,0.0
allinxswap-opbnb,AllInXSwap (opBnb),0,0.0
altcointrader,AltcoinTrader,1,19.788993404575272
alterdice,AlterDice,1,12.68796987135886
amaterasu,Amaterasu Finance,0,0.0003933211176139
animeswap,Animeswap,0,0.0045688668385614
antfarm-avalanche,Antfarm (Avalanche),0,0.0160228056811139
antfarm-ethereum,Antfarm (Ethereum) ,0,0.0166347859014874
apertureswap,ApertureSwap,0,3.7007600342638023
apeswap-arbitrum,Apeswap (Arbitrum),0,0.0021797598023793
apeswap_bsc,ApeSwap,0,4.71358905138056
apeswap_polygon,ApeSwap (Polygon),0,0.8033635353889573
apeswap_telos,Apeswap (Telos),0,0.0010094994942089
apex_pro,ApeX Pro,0,406.30491141466945
aprobit,Aprobit,1,0.0080716408066898
aqx,AQX,1,0.0
aqx_derivatives,Flipster,1,0.0
arbidex,Arbidex,0,0.009282319302169
arbswap_arbitrum_one,Arbswap,0,0.0897830921891044
archerswap,Archerswap,0,0.3919582269402291
armada,Armada,0,35.88413129371795
arthswap,ArthSwap,0,1.0092279545554146
arthswap-astar-zkevm,ArthSwap (Astar zkEVM),0,0.0201002764101402
ashswap,Ashswap,0,0.4411412617899584
astroport_injective,Astroport (Injective),0,0.3375639087587224
astroport_neutron,Astroport (Neutron),0,23.919216871412807
astroport_osmosis,Astroport (Osmosis),0,0.4648186994507891
astroport-sei,Astroport (Sei),0,0.2478297323905938
astroport_v2,Astroport V2,0,0.0
astrovault,Astrovault,0,3.265363567114782
auroraswap,AuroraSwap,0,0.0
autoshark_finance,AutoShark Finance,0,0.0116585042824438
aux,AUX Exchange,0,0.0074239799603101
ayin,AYIN,0,4.243465592301887
azbit,Azbit,1,3213.7358128723113
babydogeswap,BabyDogeSwap,0,5.272801499357064
babyswap,BabySwap,0,0.7041276383351088
backpack_exchange,Backpack Exchange ,1,239.50030919425183
baguette,Baguette,0,0.0
bakeryswap,Bakeryswap,0,0.7635921898085787
bakeryswap-base,BakerySwap (Base),0,0.0
balanced_network,Balanced,0,0.4894612748686989
balancer,Balancer V2,0,763.8280913989972
balancer_arbitrum,Balancer V2 (Arbitrum),0,0.0
balancer-gnosis,Balancer V2 (Gnosis),0,103.00813693929418
balancer_polygon,Balancer V2 (Polygon),0,0.0
balancer_v1,Balancer V1,0,0.0
balancer-v2-avalanche,Balancer V2 (Avalanche),0,7.605289134563247
balancer-v2-base,Balancer V2 (Base),0,13.55146833596314
balancer-v2-polygon-zkevm,Balancer V2 (Polygon zkEVM) ,0,0.0
bancor,Bancor (V2),0,0.0
bancor_v3,Bancor (V3),0,3.0056245810810127
baptswap,BAPTSwap,0,0.0056182366027988
baryon_network,Baryon Network,0,0.0014510346460736
baryon-network-viction,BaryonSwap (Viction),0,0.0180355611909159
baseswap,BaseSwap,0,0.0
baseswap-v3,BaseSwap V3,0,12.106700390771035
basex,BaseX,0,0.3268941313905058
basin,Basin,0,0.0
baso-finance,Baso Finance,0,0.0004769602251637
bcex,BCEX,1,0.0
beamswap,Beamswap,0,0.2373232830353564
beam-swap,Beam Swap,0,3.6770778005641365
beethovenx,Beethoven X,0,2.4995973961261764
beethoven_x_optimism,Beethoven X (Optimism),0,0.0
benswap_smart_bitcoin_cash,Benswap,0,0.0039366700649362
bevmswap,BEVMSwap,0,0.0528461151584292
bibox,Bibox,1,29.30766280594739
bibox_futures,Bibox (Futures),1,0.0
biconomy,Biconomy,1,10437.8584976838
bifrost_swap,Bifrost Swap,0,1.3649778995565884
bigone,BigONE,1,10359.604696253118
bigone_futures,BigONE Futures,1,0.0
bilaxy,Bilaxy,1,87.23321238428983
binance,Binance,1,111988.50320759317
binance_dex,Binance DEX,0,0.0
binance_dex_mini,Binance DEX (Mini),0,0.0
binance_futures,Binance (Futures),1,0.0
binance_us,Binance US,1,108.06089801097681
binaryswap,BinarySwap,0,0.002914800128639
bingx,BingX,1,4900.456710295451
bingx_futures,BingX (Futures),1,0.0
birake,Birake,1,0.00386113
bishang,Bishang,1,0.0
bisq,Bisq,0,5.895815469712436
biswap,Biswap,0,8.440585548583213
biswap-v3-1,Biswap V3,0,28.869639644343245
bit2c,Bit2c,1,0.4249885934127416
bit2me,Bit2Me,1,762.4283813606563
bitazza,Bitazza,1,374.7650183672884
bitbank,Bitbank,1,358.0322465186022
bitbay,zondacrypto,1,28.863959674634973
bitbegin,Bitbegin,1,0.0
bitbns,BitBNS,1,25.117674047734123
bitcastle,bitcastle,1,198.1606587613573
bitci,Bitci TR,1,1325.8793342294728
bitcoin_com,FMFW.io,1,480.48678792341633
bitcointry_exchange,Bitcointry,1,125.62559371892264
bit_com,BIT,1,54.81257673952336
bitdelta,BitDelta,1,703.0492123079123
bitdex,Bitdex,0,0.0001671465964968
bitexbook,BITEXBOOK,1,0.0097879341091312
bitexen,Bitexen,1,95.7989578622238
bitexlive,Bitexlive,1,67.46465660989908
bitfinex,Bitfinex,1,1657.0430544374026
bitfinex_futures,Bitfinex (Futures),1,0.0
bitflyer,bitFlyer,1,1195.1007782452866
bitflyer_futures,Bitflyer (Futures),1,0.0
bitgenie-merlin-chain,BitGenie,0,0.0
bitget,Bitget,1,24186.348930049386
bitget_futures,Bitget Futures,1,0.0
bithash,BitHash,1,0.0
bithumb,Bithumb,1,5951.144959272794
bitker,BITKER,1,0.2341395302230823
bitkub,Bitkub,1,318.10684094128413
bitlo,Bitlo,1,20.595594277821306
bitmake,BitMake,1,0.0
bitmake_futures,BitMake Futures,1,0.0
bitmart,BitMart,1,12032.677528507631
bitmart_futures,Bitmart Futures,1,0.0
bitmax,AscendEX (BitMax),1,8889.799429223996
bitmax_futures,AscendEX  (BitMax) (Futures),1,0.0
bitmex,BitMEX (Derivative),1,0.0
bitmex_spot,BitMEX,1,3.7692570894846877
bitonbay,BitOnBay,1,2.5396448314708056
bitopro,BitoPro,1,176.4481599250456
