label,message
2,Next coin: GLYP
2,NEXA
2,Buy NEXA now
2,BRAV is today's coin
2,Our target coin: FYNX
2,Our target coin: QUOX
2,Our coin: FYNX
2,The coin is: ZORQ
2,Next coin: QUOX
2,Our coin: XORD
2,Today's pump is: FLUXO
2,KORN is today's coin
2,HEXOR is today's coin
2,Next coin: GROX
2,Today's pump is: QUAZ
2,Our coin: BOLT
2,PYRM
2,Our target coin: GLYP
2,Next coin: GLYP
2,The coin is: QUAZ
2,Today's pump is: LUNQ
2,Our target coin: DRAX
2,Today's target: VIRK
2,Today's pump is: KORN
2,The coin is: BLON
2,The coin is: XENO
2,Our target coin: PLOR
2,Our coin: QUAZ
2,FLUXO is today's coin
2,Our target coin: BRAV
2,Today's target: TRIX
2,GLYP
2,Buy HEXOR now
2,Buy VIRK now
2,Buy ZORK now
2,Today's target: GROX
2,Today's target: PYRM
2,Our target coin: VOLT
2,Our target coin: FYNX
2,Our coin: STRIK
2,TRIX is today's coin
2,Pump target: BRAV
2,Our target coin: NUVO
2,Pump target: VIRK
2,Pump target: GLYP
2,The coin is: STRIK
2,Pump target: NEXA
2,Today's pump is: BRAV
2,Our coin: ZORK
2,BRAV is today's coin
2,Our coin: BLIT
2,Buy ZORQ now
2,Buy GROX now
2,VIRK
2,The coin is: ZORQ
2,Today's target: VIRK
2,The coin is: KORN
2,The coin is: VIRK
2,NEXA is today's coin
2,Buy VOLT now
2,Our coin: FYNX
2,Pump target: HEXOR
2,Our target coin: TRIX
2,Buy XENO now
2,Pump target: HEXOR
2,Today's pump is: BOLT
2,Next coin: STRIK
2,Today's pump is: GLYP
2,Next coin: BOLT
2,Today's pump is: DRAX
2,HEXOR
2,Today's pump is: QUOX
2,Pump target: TRIX
2,Buy LUNQ now
2,Our target coin: XORD
2,The coin is: BOLT
2,The coin is: KRYT
2,Buy KRYT now
2,Today's target: GLYP
2,QUAZ is today's coin
2,GROX
2,Our coin: FLUXO
2,Today's pump is: PLOR
2,Our target coin: STRIK
2,Our target coin: LUNQ
2,Pump target: QUOR
2,VYPR
2,Our target coin: QUOR
2,BLIT
2,Pump target: GROX
2,VYPR is today's coin
2,VIRK is today's coin
2,Today's pump is: PYRM
2,Our coin: QUAZ
2,Today's pump is: TRIX
2,Our coin: BOLT
2,Our target coin: PYRM
2,Our target coin: BLON
2,Today's pump is: STRIK
2,Buy XORD now
2,BRAV
2,Next coin: PYRM
2,Pump target: KRYT
2,DRAX
2,Our target coin: FLUXO
2,Next coin: PYRM
2,Today's target: QUOR
2,Pump target: PLOR
2,FYNX
2,Buy VIRK now
2,Next coin: ZORQ
2,BOLT is today's coin
2,Pump target: NUVO
2,Our target coin: FLUXO
2,The coin is: NUVO
2,Our target coin: KRYT
2,Buy HEXOR now
2,NEXA is today's coin
2,Pump target: KRYT
2,Our coin: LUNQ
2,Our target coin: NUVO
2,VYPR is today's coin
2,The coin is: STRIK
2,Buy QUOX now
2,Today's target: BOLT
2,Buy TROV now
2,VOLT
2,Our coin: TROV
2,Today's target: VYPR
2,Buy NUVO now
2,Today's pump is: NEXA
2,Our coin: BOLT
2,Today's target: HEXOR
2,Pump target: VYPR
2,Buy BLIT now
2,Buy ZORK now
2,Our coin: BLIT
2,Buy LUNQ now
2,Our target coin: FYNX
2,The coin is: NEXA
2,XENO is today's coin
2,TRIX is today's coin
2,Our target coin: BLON
2,Today's target: TRIX
2,Today's target: KRYT
2,Pump target: HEXOR
2,The coin is: VOLT
2,Today's target: XENO
2,Today's pump is: QUOR
2,QUOR
2,The coin is: DRAX
2,Today's target: VIRK
2,VYPR
2,Our target coin: FLUXO
2,TRIX is today's coin
2,Our target coin: KRYT
2,XENO is today's coin
2,Buy XENO now
2,The coin is: QUOX
2,Next coin: VOLT
2,The coin is: PLOR
2,The coin is: STRIK
2,QUAZ
2,Next coin: NEXA
2,Next coin: KRYT
2,TROV is today's coin
2,Next coin: FYNX
2,PLOR is today's coin
2,NEXA is today's coin
2,Our coin: VOLT
2,Buy GROX now
2,Next coin: FYNX
2,TROV is today's coin
2,The coin is: TRIX
2,KORN
2,Next coin: NUVO
2,The coin is: STRIK
2,Today's pump is: BRAV
2,Next coin: NUVO
2,The coin is: GLYP
2,Today's target: QUOX
2,The coin is: QUOR
2,Our coin: KRYT
2,Pump target: FLUXO
2,Pump target: GROX
2,LUNQ
2,Our coin: VYPR
2,Next coin: NEXA
2,Next coin: BRAV
2,The coin is: NEXA
2,Our target coin: NUVO
2,HEXOR
2,QUOX is today's coin
2,Our target coin: BOLT
2,Our target coin: NUVO
2,ZORK is today's coin
2,Our target coin: GROX
2,Next coin: XORD
2,The coin is: NUVO
2,Our coin: FYNX
2,Buy KORN now
2,Next coin: PYRM
2,Our coin: DRAX
2,Today's target: XENO
2,GROX
2,Our target coin: FLUXO
2,Today's target: STRIK
2,Next coin: BRAV
2,Pump target: TROV
2,Today's target: LUNQ
2,FYNX is today's coin
2,Our target coin: BLIT
